Date,Location,Aboard,Fatalities
1939-04-03,"Near Marrakech, Morocco",9,9
1939-05-01,Mocambique,6,2
1939-05-02,"Near Marrakech, Morocco",9,9
1939-05-08,"Guayaquil, Ecuador",1,1
1939-06-10,"Vlissingen, The Netherlands",3,3
1939-07-20,"Konstanz, Switzerland",6,6
1939-08-04,"Barcelona, Spain",7,7
1939-08-13,"Rio de Janerio, Brazil",16,14
1939-08-15,"Off Copenhagen, Denmark",6,5
1939-08-28,"Lahore, India",2,2
1939-08-30,"Hannover, Germany",7,7
1939-09-26,North Sea,,1
1939-11-20,"Gosport, England",2,2
1939-12-18,South of Gibraltar,10,10
1939-12-21,Off Malta-Luqa,11,5
1939-12-24,"Mogador, Morocco",7,7
1940-01-15,"Denpasar, Indonesia",9,8
1940-03-01,Gulf of Oman,8,8
1940-04-22,"Near Loch Lomond, Scotland",3,3
1940-06-02,"El Segundo, California",5,5
1940-06-14,"Off Prangli Island, Gulf of Finland, Estonia",9,9
1940-06-20,"Near Ouistreham, France",1,1
1940-07-07,Gulf of Tonkin,,
1940-08-13,"Near Canberra, Australia",10,10
1940-08-23,"Cluj, Romania",18,14
1940-08-31,"Near Lovettsville, Virginia",25,25
1940-10-29,"Near Changyi, China",14,9
1940-10-29,"Berlin, Germany",15,2
1940-11-04,"Near Centerville, Utah",10,10
1940-11-08,"Brauna, Germany",29,29
1940-11-09,"Rio de Janeiro, Brazil",18,18
1940-11-27,Mediterranean Sea,6,6
1940-12-04,"Chicago, Illinois",16,10
1941-01-15,Off South Africa,10,10
1941-01-18,"Near Nagy-Varad, Hungary",12,12
1941-01-20,"Near Kian, China",6,5
1941-01-23,"Near Robertson, Missouri",13,2
1941-02-06,"Armstrong, ON, Canada",12,12
1941-02-26,"Atlanta, Georgia",16,9
1941-03-01,"Trontheim, Norway",12,3
1941-03-28,"Elands Bay, South Africa",10,10
1941-06-19,"Bucharest, Romania",15,15
1941-06-21,Sea of Japan,18,18
1941-08-10,"Arran, Scotland",22,22
1941-08-14,"Ayr, Scotland",22,22
1941-08-18,"Near Sao Paulo, Brazil",12,8
1941-09-01,"Bollemont, France",17,13
1941-09-01,"Campbeltown, Argyll, Scotland",10,10
1941-10-03,"San Juan, Puerto Rico",15,2
1941-10-28,,13,13
1941-10-30,"Near Moorhead, Minnesota",15,14
1941-10-30,"St. Thomas, Ontario, Canada",20,20
1941-12-11,"Miami, Florida",3,3
1942-01-16,"Near Las Vegas, Nevada",22,22
1942-01-20,"Manado, Indonesia",11,11
1942-01-24,"Near Samarinda, Borneo",,
1942-01-26,"Kupang, Timor",,
1942-01-30,"Near Kupang, Timor",18,13
1942-02-14,,,
1942-02-15,"English Channel, near Plymouth, England",9,9
1942-02-20,"Off Belmont, Brisbane, Australia",9,9
1942-02-28,Indian Ocean,20,20
1942-03-03,"Off Broome, Australia",33,19
1942-03-03,"Wyndham, Australia",12,8
1943-08-27,North Sea,7,7
1942-03-14,"Kunming, China",17,13
1942-04-21,"Pine Creek, Australia",12,12
1942-05-01,"Salt Lake City, Utah",17,17
1942-05-12,"Miles City, Montana",14,3
1942-07-01,"Near Premier, West Virginia",21,21
1942-07-07,"Off Broken Head, Australia",10,10
1942-07-20,"Llanfair, England",13,13
