Date,Close/Last,Volume,Open,High,Low
2018-03-23,87,43857770,$89.50 ,$90.46 ,$87.08 
2018-03-26,94,56261750,$90.61 ,$94 ,$90.40 
2018-03-27,89,55091770,$94.94 ,$95.14 ,$88.51 
2018-03-28,89,52235580,$89.82 ,$91.23 ,$88.87 
2018-03-29,91,45763610,$90.18 ,$92.29 ,$88.40 
2018-04-02,89,48473940,$90.47 ,$90.88 ,$87.51 
2018-04-03,90,37188830,$89.58 ,$90.05 ,$87.89 
2018-04-04,92,35479140,$87.85 ,$92.76 ,$87.73 
2018-04-05,92,29686720,$92.44 ,$93.07 ,$91.40 
2018-04-06,90,37809230,$91.49 ,$92.46 ,$89.48 
2018-04-09,91,31508070,$91.04 ,$93.17 ,$90.62 
2018-04-10,93,26885740,$92.39 ,$93.28 ,$91.64 
2018-04-11,92,24849510,$92.01 ,$93.29 ,$91.48 
2018-04-12,94,26684870,$92.43 ,$94.16 ,$92.43 
2018-04-13,93,23332360,$94.05 ,$94.18 ,$92.44 
2018-04-16,94,20278000,$94.07 ,$94.66 ,$93.42 
2018-04-17,96,25700050,$95 ,$96.54 ,$94.88 
2018-04-18,96,21024010,$96.22 ,$96.72 ,$95.52 
2018-04-19,96,23540730,$96.44 ,$97.07 ,$95.34 
2018-04-20,95,31135830,$95.91 ,$96.11 ,$94.05 
2018-04-23,95,22243560,$95.74 ,$96.29 ,$94.63 
2018-04-24,93,34495820,$96.24 ,$96.47 ,$92.41 
2018-04-25,92,33622300,$93.30 ,$93.30 ,$90.28 
2018-04-26,94,41085820,$93.55 ,$95.15 ,$93.10 
2018-04-27,96,48037250,$97.60 ,$97.90 ,$93.91 
2018-04-30,94,41196050,$96.33 ,$96.40 ,$93.15 
2018-05-01,95,31400270,$93.21 ,$95.29 ,$92.79 
2018-05-02,94,27459080,$94.99 ,$95.17 ,$93.19 
2018-05-03,94,31071660,$92.96 ,$94.93 ,$92.45 
2018-05-04,95,22243660,$93.32 ,$95.37 ,$92.92 
2018-05-07,96,23591080,$95.17 ,$96.71 ,$95.10 
2018-05-08,96,22764250,$95.85 ,$96.16 ,$95.06 
2018-05-09,97,27279420,$96.01 ,$96.97 ,$95.05 
2018-05-10,98,22341300,$97.46 ,$97.95 ,$97.05 
2018-05-11,98,16759750,$97.80 ,$97.87 ,$97.04 
2018-05-14,98,19447690,$97.92 ,$98.69 ,$97.31 
2018-05-15,97,24584910,$97.24 ,$97.85 ,$96.34 
2018-05-16,97,17371190,$97.36 ,$97.40 ,$96.62 
2018-05-17,96,17167840,$96.76 ,$97.54 ,$95.83 
2018-05-18,96,17543940,$96.01 ,$96.93 ,$96.01 
2018-05-21,98,18996380,$97 ,$98.01 ,$96.80 
2018-05-22,98,15438990,$97.68 ,$98.17 ,$97.20 
2018-05-23,99,21119770,$96.71 ,$98.73 ,$96.32 
2018-05-24,98,26637580,$98.73 ,$98.94 ,$96.81 
2018-05-25,98,17942630,$98.30 ,$98.98 ,$97.86 
2018-05-29,98,28395290,$97.84 ,$98.88 ,$97.23 
2018-05-30,99,21899560,$98.31 ,$99.25 ,$97.91 
2018-05-31,99,34117650,$99.29 ,$99.99 ,$98.61 
2018-06-01,101,28615930,$99.28 ,$100.86 ,$99.17 
2018-06-04,102,27173310,$101.26 ,$101.86 ,$100.85 
2018-06-05,102,23484820,$102 ,$102.33 ,$101.53 
2018-06-06,102,21112450,$102.48 ,$102.60 ,$101.90 
2018-06-07,101,28149340,$102.65 ,$102.69 ,$100.38 
2018-06-08,102,22151500,$101.09 ,$101.95 ,$100.54 
2018-06-11,101,22773270,$101.37 ,$101.59 ,$100.67 
2018-06-12,101,18072860,$101.10 ,$101.45 ,$100.75 
2018-06-13,101,28698040,$101.72 ,$102.01 ,$100.56 
2018-06-14,101,25405900,$101.65 ,$102.03 ,$101 
2018-06-15,100,65663130,$101.51 ,$101.53 ,$100.07 
2018-06-18,101,22760070,$100.01 ,$101.11 ,$99.42 
2018-06-19,101,27633590,$99.65 ,$101 ,$99.50 
2018-06-20,102,26177810,$101.37 ,$102.52 ,$101.12 
2018-06-21,101,21812100,$102.08 ,$102.46 ,$100.88 
2018-06-22,100,38869490,$100.41 ,$100.77 ,$99.63 
2018-06-25,98,35422640,$100 ,$100.11 ,$97.30 
2018-06-26,99,26551930,$98.82 ,$100.08 ,$98.75 
2018-06-27,98,31280700,$99.58 ,$100.02 ,$97.40 
2018-06-28,99,26643410,$97.38 ,$99.11 ,$97.26 
2018-06-29,99,27553700,$98.93 ,$99.91 ,$98.33 
2018-07-02,100,18850500,$98.10 ,$100.06 ,$98 
2018-07-03,99,14670280,$100.48 ,$100.63 ,$98.94 
2018-07-05,100,18583280,$99.50 ,$99.92 ,$99.03 
2018-07-06,101,18238570,$99.89 ,$101.43 ,$99.67 
2018-07-09,102,16410950,$101.65 ,$102.25 ,$101.25 
2018-07-10,102,19180850,$102 ,$102.51 ,$101.86 
2018-07-11,102,19278720,$101.15 ,$102.34 ,$101.10 
2018-07-12,104,24270690,$102.77 ,$104.41 ,$102.73 
2018-07-13,105,24578340,$104.37 ,$105.60 ,$104.09 
2018-07-16,105,20782300,$105.40 ,$105.82 ,$104.52 
2018-07-17,106,25864500,$104.61 ,$106.50 ,$104.32 
